clause_id	clause_title	spec_heading_line	implementation_refs	unit_test_refs	system_test_refs	parity_case_ids	coverage_status	gap_notes
2	CLI Surface Contract	25	src/lib.rs::run_from;src/cli.rs::Cli;src/cli.rs::CommandKind;src/app.rs::execute	-	tests/system_command_matrix.rs::MATRIX_CASES	tests/fixtures/parity/cases.json	covered_by_subclauses	Use subclauses for executable evidence.
2.1	Invocation	27	src/lib.rs::run_from;src/cli.rs::KNOWN_COMMANDS;src/cli.rs::preprocess_args	src/cli.rs::tests::preprocess_args_typo_like_token_inserts_install;src/cli.rs::tests::preprocess_args_package_name_inserts_install;src/cli.rs::tests::preprocess_args_known_command_passes_through;src/cli.rs::tests::preprocess_args_search_command_passes_through;src/cli.rs::tests::preprocess_args_uninstall_alias_passes_through;src/cli.rs::tests::known_commands_match_spec_plus_intentional_extensions	tests/system_command_matrix.rs::MATRIX_CASES[install_missing_args_parser_error,remove_missing_args_parser_error,where_missing_args_parser_error,info_missing_args_parser_error,installed_missing_args_parser_error]	implicit_install_unqualified_token_stubbed;install_missing_arg;remove_missing_arg;where_missing_arg;info_missing_arg;installed_missing_arg;search_found_stubbed;search_json_found_stubbed	covered	Extension set is intentionally additive (`search`,`secret`/`secrets`,`uninstall`) and documented in SPEC §14; parser tests lock passthrough and boundaries.
2.2	Global Options	51	src/cli.rs::Cli::{plain,unicode,minimal,verbose,json};src/app.rs::execute;src/commands/context.rs::GlobalFlags;src/commands/query.rs::{cmd_list,cmd_info,cmd_installed};src/commands/search.rs::cmd_search;src/output/style.rs::OutputStyle::from_flags	src/cli.rs::tests::global_json_and_unicode_flags_parse_at_root;src/output/style.rs::tests::unicode_selected_when_requested;src/output/style.rs::tests::plain_uses_minimal_set;src/output/printer.rs::tests::printer_uses_minimal_glyphs_for_plain_mode	tests/system_command_matrix.rs::MATRIX_CASES[list_global_json_flag_renders_json,info_global_json_flag_renders_json,installed_global_json_flag_renders_json]	list_json;info_json_found;installed_json_success	covered	Root-level `--json` now propagates to JSON-capable handlers; unicode flag parsing and style selection are directly unit-tested.
2.3	Command Options	61	src/cli.rs::InstallArgs;src/cli.rs::RemoveArgs;src/cli.rs::ListArgs;src/cli.rs::InfoArgs;src/cli.rs::InstalledArgs;src/cli.rs::UpgradeArgs	src/cli.rs::tests::install_parses_explain_engine_and_model_options;src/cli.rs::tests::remove_parses_model_option;src/cli.rs::tests::list_parses_verbose_option;src/cli.rs::tests::info_parses_verbose_option;src/cli.rs::tests::upgrade_parses_verbose_option;src/commands/install.rs::tests::source_prefs_maps_source_and_bleeding_edge;src/commands/install.rs::tests::source_prefs_maps_cask_flag	tests/system_command_matrix.rs::MATRIX_CASES[update_success_passthrough,rebuild_success_passthrough,upgrade_passthrough_flake_update_args,upgrade_dry_run_skip_brew_short_circuit]	list_json;list_invalid_source;installed_show_location;info_bleeding_edge_stubbed;upgrade_flake_passthrough_stubbed	covered	Explicit parser coverage now locks the remaining option-surface clauses (`--explain`, engine/model, verbose toggles).
2.4	Exit Code Contract	94	src/commands/install.rs::cmd_install;src/commands/remove.rs::cmd_remove;src/commands/query.rs::{cmd_where,cmd_list,cmd_info,cmd_status,cmd_installed};src/commands/system.rs::{cmd_undo,cmd_update,cmd_test,cmd_rebuild,cmd_upgrade};src/commands/shared.rs::missing_argument_error	-	tests/system_command_matrix.rs::MATRIX_CASES[*_parser_error,update_failure_exit,test_*_failure_*,rebuild_*_failure_*,upgrade_*_short_circuit]	install_missing_arg;remove_missing_arg;where_missing_arg;list_invalid_source;info_missing_arg;installed_missing_arg;update_failure;test_failure;rebuild_flake_check_failure;upgrade_flake_failure	covered	Exit-code behavior is locked primarily by parity + system matrix.
3	Repository Discovery And Config Routing	109	src/app.rs::find_repo_root;src/domain/config.rs::ConfigFiles::discover	-	-	-	covered_by_subclauses	Use 3.1/3.2 rows for evidence.
3.1	Repo Root Resolution	111	src/app.rs::{find_repo_root,git_repo_root,resolve_repo_root,dirs_home}	src/app.rs::tests::resolve_repo_root_prefers_env_var;src/app.rs::tests::resolve_repo_root_prefers_git_root_over_home_default;src/app.rs::tests::resolve_repo_root_falls_back_to_home_default;src/app.rs::tests::resolve_repo_root_errors_without_any_source	-	(where execution in all parity cases runs with B2NIX_REPO_ROOT)	covered	Unit tests lock ordering/env/git/home/error branches.
3.2	Config File Discovery	120	src/domain/config.rs::ConfigFiles::discover;src/domain/config.rs::{packages,languages,services,darwin,homebrew_brews,homebrew_casks,homebrew_taps};src/infra/config_scan.rs::collect_nix_files	src/domain/config.rs::tests::default_nix_and_common_nix_excluded;src/domain/config.rs::tests::fallback_when_no_tags_match;src/infra/config_scan.rs::tests::scan_packages_includes_launchd_service_from_default_nix;src/infra/config_scan.rs::tests::scan_packages_excludes_launchd_service_from_common_nix	tests/system_command_matrix.rs::MATRIX_CASES[info_json_hm_module_known_package,info_json_darwin_service_known_package]	list_plain_default_launchd_service;status_plain_default_launchd_service	covered	Config routing and scan behavior align with SPEC note about `default.nix` handling split.
4	Finder Contract	140	src/infra/finder.rs::*;src/infra/config_scan.rs::scan_packages	-	-	-	covered_by_subclauses	Use 4.1-4.4 rows for evidence.
4.1	find_package(name)	142	src/infra/finder.rs::{find_package,find_package_exact,build_patterns,is_alias_rhs_for};src/domain/source.rs::normalize_name	src/infra/finder.rs::tests::find_package_matches_qualified_suffix;src/infra/finder.rs::tests::find_package_uses_shared_alias_normalization	-	where_found;where_not_found;remove_yes_mutates;install_dry_run_installed	covered	Lookup, aliasing, and alias-RHS false-positive avoidance are implemented and tested.
